sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,blank_time,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
116,1,1,categorization,0,bathroom,SHINEd_sun_abjtwfukuwddzted.tif,15,0.0666666666666667,0.0666666666666667,1.23333333333333,1214400.8366876,1214401.7634058,74,NaN,1214400.9091203,1214400.975022,1214401.7690045,1214403.0006754,1,0.926718200091273
116,2,1,categorization,0,bathroom,SHINEd_sun_agyqfjcfkdcydepw.tif,25,0.0666666666666667,0.0666666666666667,0.783333333333333,1214403.0067459,1214404.4038743,74,NaN,1214403.0776425,1214403.1438947,1214404.4094063,1214405.1910778,1,1.39712839992717
116,3,1,categorization,0,kitchen,SHINEd_sun_aaxxjlsuzvqlgylf.tif,68,0.0666666666666667,0.0666666666666667,0.75,1214405.197188,1214405.9553614,70,NaN,1214405.2680055,1214405.3344064,1214405.9614605,1214406.7097985,1,0.758173400070518
116,4,1,categorization,0,bathroom,SHINEd_sun_abapwbhyhkfixyex.tif,14,0.0666666666666667,0.0666666666666667,1.23333333333333,1214406.7157981,1214407.6266087,70,NaN,1214406.7866088,1214406.8525995,1214407.6332352,1214408.8649069,0,0.910810600034893
116,5,1,categorization,0,bathroom,SHINEd_sun_acegryoqftbzowsg.tif,17,0.0666666666666667,0.0666666666666667,1.13333333333333,1214408.870933,1214409.8346277,74,NaN,1214408.9417384,1214409.0078995,1214409.8411801,1214410.9728528,1,0.963694700039923
116,6,1,categorization,0,bathroom,SHINEd_sun_ahcvzmoyaycdoftf.tif,27,0.0666666666666667,0.0666666666666667,0.95,1214410.9789752,1214411.7314962,74,NaN,1214411.0498054,1214411.1176046,1214411.7372635,1214412.685603,1,0.752520999871194
116,7,1,categorization,0,kitchen,SHINEd_sun_akchetnepxlcxhsu.tif,97,0.0666666666666667,0.0666666666666667,0.733333333333333,1214412.691361,1214413.5946107,74,NaN,1214412.7628465,1214412.8289975,1214413.6015273,1214414.3332099,0,0.903249699855223
116,8,1,categorization,0,kitchen,SHINEd_sun_ahpczsiumwwocjkv.tif,92,0.0666666666666667,0.0666666666666667,1.31666666666667,1214414.3393632,1214415.1465878,70,NaN,1214414.4099988,1214414.4765165,1214415.1530093,1214416.4680134,1,0.807224600110203
116,9,1,categorization,0,kitchen,SHINEd_sun_aegoxogugdkwpmpj.tif,80,0.0666666666666667,0.0666666666666667,0.8,1214416.4738782,1214417.2753648,70,NaN,1214416.5449978,1214416.6116916,1214417.281022,1214418.0793603,1,0.80148659995757
116,10,1,categorization,0,bathroom,SHINEd_sun_asfwthctfqerjvxr.tif,49,0.0666666666666667,0.0666666666666667,0.716666666666667,1214418.0852812,1214419.0271811,74,NaN,1214418.1559511,1214418.2220283,1214419.0327711,1214419.747775,1,0.941899900091812
116,11,1,categorization,0,bathroom,SHINEd_sun_apkxzenqapsujocq.tif,45,0.0666666666666667,0.0666666666666667,0.916666666666667,1214419.753853,1214420.5874462,74,NaN,1214419.8245109,1214419.8907435,1214420.5933983,1214421.5084037,1,0.833593199960887
116,12,1,categorization,0,bathroom,SHINEd_sun_apmqjbnwghzuhhzh.tif,46,0.0666666666666667,0.0666666666666667,0.95,1214421.5163438,1214422.4753459,74,NaN,1214421.5869792,1214421.6532816,1214422.4810785,1214423.4294174,1,0.959002100164071
116,13,1,categorization,0,bathroom,SHINEd_sun_aqrpegblszgcoujh.tif,48,0.0666666666666667,0.0666666666666667,0.833333333333333,1214423.4355133,1214424.1546263,74,NaN,1214423.5064217,1214423.5726519,1214424.1611835,1214424.992854,1,0.719113000202924
116,14,1,categorization,0,bathroom,SHINEd_sun_awnqiikzaispgmwo.tif,56,0.0666666666666667,0.0666666666666667,0.75,1214424.998839,1214425.7865461,74,NaN,1214425.0696417,1214425.1361237,1214425.7926375,1214426.5409751,1,0.787707099923864
116,15,1,categorization,0,bathroom,SHINEd_sun_axxbkopsgyouuebh.tif,58,0.0666666666666667,0.0666666666666667,1.53333333333333,1214426.5468294,1214427.6272278,74,NaN,1214426.6174939,1214426.6838535,1214427.63264,1214429.1643117,1,1.08039840008132
116,16,1,categorization,0,kitchen,SHINEd_sun_aqeaevwwwjoqhzvl.tif,100,0.0666666666666667,0.0666666666666667,1.05,1214429.1704616,1214429.9145782,70,NaN,1214429.2412316,1214429.3073193,1214429.9206012,1214430.968939,1,0.744116600137204
116,17,1,categorization,0,bathroom,SHINEd_sun_ambriybtogmepttm.tif,36,0.0666666666666667,0.0666666666666667,0.9,1214430.9750378,1214431.8025614,74,NaN,1214431.0457056,1214431.1119523,1214431.8085937,1214432.7069336,1,0.827523600077257
116,18,1,categorization,0,kitchen,SHINEd_sun_acwjdupvyjsugpay.tif,76,0.0666666666666667,0.0666666666666667,1.18333333333333,1214432.7134322,1214433.3953837,70,NaN,1214432.784304,1214432.8504572,1214433.4009615,1214434.5826335,1,0.681951500009745
116,19,1,categorization,0,kitchen,SHINEd_sun_aenotlpyftoioydp.tif,82,0.0666666666666667,0.0666666666666667,0.9,1214434.5885638,1214435.5152716,70,NaN,1214434.6593591,1214434.7254866,1214435.5206534,1214436.4190034,1,0.926707800012082
116,20,1,categorization,0,kitchen,SHINEd_sun_admlmbcdswaszruo.tif,79,0.0666666666666667,0.0666666666666667,1.66666666666667,1214436.42517,1214437.2489614,70,NaN,1214436.4967118,1214436.5625391,1214437.2599864,1214438.9249924,1,0.823791400063783
116,21,1,categorization,0,bathroom,SHINEd_sun_aofnryafpsjimzsb.tif,40,0.0666666666666667,0.0666666666666667,1.13333333333333,1214438.931089,1214439.6751812,70,NaN,1214439.0018655,1214439.068019,1214439.6805474,1214440.81222,0,0.74409219995141
116,22,1,categorization,0,bathroom,SHINEd_sun_aggnnqpdorgxpvce.tif,21,0.0666666666666667,0.0666666666666667,1.3,1214440.8207467,1214441.7065943,70,NaN,1214440.8916264,1214440.9577421,1214441.7133325,1214443.0116705,0,0.8858475999441
116,23,1,categorization,0,bathroom,SHINEd_sun_avhrdrntsqrjzccq.tif,55,0.0666666666666667,0.0666666666666667,1.93333333333333,1214443.0177489,1214443.9705895,74,NaN,1214443.0885747,1214443.1557204,1214443.9775777,1214445.9092482,1,0.952840599929914
116,24,1,categorization,0,bathroom,SHINEd_sun_apynckhmoftszqoq.tif,47,0.0666666666666667,0.0666666666666667,1,1214445.9174706,1214446.6106661,74,NaN,1214445.9882254,1214446.054505,1214446.6170908,1214447.6154297,1,0.693195499945432
116,25,1,categorization,0,bathroom,SHINEd_sun_anryaplzeujmzfkd.tif,39,0.0666666666666667,0.0666666666666667,0.883333333333333,1214447.6212453,1214448.3561372,74,NaN,1214447.6920132,1214447.7586725,1214448.3621705,1214449.243843,1,0.734891900094226
116,26,1,categorization,0,bathroom,SHINEd_sun_anhioqovhscjqqwb.tif,38,0.0666666666666667,0.0666666666666667,1.95,1214449.2500003,1214450.1715844,74,NaN,1214449.3206693,1214449.3869634,1214450.1777131,1214452.1260506,1,0.921584100229666
116,27,1,categorization,0,bathroom,SHINEd_sun_amzlamotzwfkwjco.tif,37,0.0666666666666667,0.0666666666666667,1.25,1214452.1321601,1214453.2116923,70,NaN,1214452.2029785,1214452.2690615,1214453.2176627,1214454.4660012,0,1.07953220000491
116,28,1,categorization,0,kitchen,SHINEd_sun_ajcbwwvdlsvjyzje.tif,95,0.0666666666666667,0.0666666666666667,1.95,1214454.472175,1214455.2355051,70,NaN,1214454.5430249,1214454.6091797,1214455.2412723,1214457.1896104,1,0.763330100104213
116,29,1,categorization,0,kitchen,SHINEd_sun_awcpdzzznmweyyhv.tif,105,0.0666666666666667,0.0666666666666667,1.91666666666667,1214457.1965014,1214457.9390312,70,NaN,1214457.2673541,1214457.3334054,1214457.9445904,1214459.8595966,1,0.742529799928889
116,30,1,categorization,0,bathroom,SHINEd_sun_apkruvsevgegsdwp.tif,44,0.0666666666666667,0.0666666666666667,1.41666666666667,1214459.8655863,1214460.5784793,74,NaN,1214459.9367661,1214460.0025916,1214460.5853468,1214462.0003514,1,0.712893000105396
116,31,1,categorization,0,bathroom,SHINEd_sun_auzqhkafidnkrwmo.tif,54,0.0666666666666667,0.0666666666666667,0.716666666666667,1214462.0064017,1214462.804404,74,NaN,1214462.0772523,1214462.1435274,1214462.8098737,1214463.5248791,1,0.7980023000855
116,32,1,categorization,0,kitchen,SHINEd_sun_ahljzhgcdpomplvg.tif,91,0.0666666666666667,0.0666666666666667,1.28333333333333,1214463.5308872,1214464.2752819,70,NaN,1214463.601548,1214463.6682752,1214464.2808001,1214465.562471,1,0.744394700042903
116,33,1,categorization,0,bathroom,SHINEd_sun_ahijqszoswveeyji.tif,28,0.0666666666666667,0.0666666666666667,0.9,1214465.5685591,1214466.2105118,70,NaN,1214465.6392117,1214465.7055995,1214466.2163545,1214467.1146919,0,0.64195269998163
116,34,1,categorization,0,bathroom,SHINEd_sun_apeeialkgkuxddgh.tif,42,0.0666666666666667,0.0666666666666667,0.8,1214467.1208019,1214467.7873673,74,NaN,1214467.191646,1214467.2577443,1214467.7927781,1214468.5911174,1,0.666565399849787
116,35,1,categorization,0,kitchen,SHINEd_sun_axyyrmzcupyhlivc.tif,106,0.0666666666666667,0.0666666666666667,1.01666666666667,1214468.5968259,1214469.4273751,70,NaN,1214468.6675662,1214468.7354126,1214469.4330064,1214470.4480117,1,0.830549200065434
116,36,1,categorization,0,kitchen,SHINEd_sun_adgqasybjyktddhj.tif,78,0.0666666666666667,0.0666666666666667,0.85,1214470.4539738,1214471.2513103,70,NaN,1214470.5246955,1214470.5909003,1214471.2568442,1214472.1051833,1,0.797336500138044
116,37,1,categorization,0,bathroom,SHINEd_sun_aunuadmjocsddsrl.tif,52,0.0666666666666667,0.0666666666666667,1.51666666666667,1214472.1111284,1214472.8031462,74,NaN,1214472.1819902,1214472.2481534,1214472.8095132,1214474.3245184,1,0.692017799941823
116,38,1,categorization,0,bathroom,SHINEd_sun_aapitsgbtktqubfy.tif,12,0.0666666666666667,0.0666666666666667,1.83333333333333,1214474.3302635,1214475.0514075,74,NaN,1214474.40401,1214474.4670855,1214475.0573589,1214476.8890317,1,0.721143999835476
116,39,1,categorization,0,kitchen,SHINEd_sun_acgtpgfybqjmzeyw.tif,75,0.0666666666666667,0.0666666666666667,0.716666666666667,1214476.8952186,1214477.6035299,70,NaN,1214476.9660044,1214477.0320786,1214477.6094873,1214478.3244916,1,0.708311300026253
116,40,1,categorization,0,bathroom,SHINEd_sun_aclfzgynxzxlbepz.tif,19,0.0666666666666667,0.0666666666666667,0.9,1214478.330543,1214479.163454,74,NaN,1214478.4012532,1214478.4675424,1214479.1692554,1214480.0675953,1,0.832910999888554
116,41,1,categorization,0,bathroom,SHINEd_labelme_sfxiulhjbhlyiyt.tif,11,0.0666666666666667,0.0666666666666667,0.916666666666667,1214480.0736473,1214480.811097,70,NaN,1214480.1444201,1214480.2106223,1214480.8168167,1214481.7318222,0,0.737449700012803
116,42,1,categorization,0,bathroom,SHINEd_sun_ahaulkltgpkeeemi.tif,26,0.0666666666666667,0.0666666666666667,0.816666666666667,1214481.7378219,1214482.3786491,70,NaN,1214481.8086034,1214481.8746943,1214482.3849471,1214483.1999645,0,0.640827199909836
116,43,1,categorization,0,kitchen,SHINEd_sun_aarfiyshqohlwkmo.tif,67,0.0666666666666667,0.0666666666666667,1.88333333333333,1214483.2056715,1214484.0673801,70,NaN,1214483.2784527,1214483.3452054,1214484.0729231,1214485.9545941,1,0.861708600074053
116,44,1,categorization,0,kitchen,SHINEd_sun_abdenxonkemggwsq.tif,69,0.0666666666666667,0.0666666666666667,0.9,1214485.9605173,1214486.6665609,70,NaN,1214486.0313466,1214486.0972802,1214486.6738606,1214487.5721988,1,0.706043599871919
116,45,1,categorization,0,kitchen,SHINEd_sun_abrcnpqqhmjwekyf.tif,73,0.0666666666666667,0.0666666666666667,1,1214487.5783015,1214488.3953681,70,NaN,1214487.6488318,1214487.7151477,1214488.4012113,1214489.3995704,1,0.817066599847749
116,46,1,categorization,0,kitchen,SHINEd_sun_agorklincwxrdtga.tif,87,0.0666666666666667,0.0666666666666667,0.733333333333333,1214489.4083242,1214490.0753488,70,NaN,1214489.4798616,1214489.5468986,1214490.0812573,1214490.8129289,1,0.667024600086734
116,47,1,categorization,0,kitchen,SHINEd_sun_aadbddgrdsjugojn.tif,64,0.0666666666666667,0.0666666666666667,0.883333333333333,1214490.8188153,1214491.5225944,70,NaN,1214490.8896029,1214490.9557889,1214491.5290313,1214492.410702,1,0.703779099974781
116,48,1,categorization,0,bathroom,SHINEd_sun_aghyqhbptboemmoq.tif,23,0.0666666666666667,0.0666666666666667,1.73333333333333,1214492.4167092,1214493.1232033,74,NaN,1214492.4874141,1214492.5537771,1214493.1305372,1214494.8622093,1,0.706494099926203
116,49,1,categorization,0,bathroom,SHINEd_sun_acgyywnybuveqsro.tif,18,0.0666666666666667,0.0666666666666667,1.91666666666667,1214494.8688443,1214495.66806,74,NaN,1214494.9395004,1214495.0058696,1214495.6734869,1214497.5884918,1,0.7992157000117
116,50,1,categorization,0,kitchen,SHINEd_sun_aeqdocilnnpuvuhx.tif,83,0.0666666666666667,0.0666666666666667,1.35,1214497.5944748,1214498.3065654,70,NaN,1214497.6662483,1214497.7319819,1214498.3129567,1214499.6612943,1,0.712090600049123
