sub_num,trial,block,task,is_practice,category,image,texture,duration,blank,mask_dur,jitter,stim_time,time_of_resp,trial_response,blank_time,mask_time,fix_time,jit_onset,trial_end
102,1,0,categorization,1,bathroom,SHINEd_bathroom_practice1.tif,111,0.0166666666666667,0.0333333333333333,0.0833333333333333,0.733333333333333,431785.1264617,431787.5232349,74,431785.1581201,431785.184402,431785.2654846,431787.541127,431788.2729206
102,2,0,categorization,1,bathroom,SHINEd_bathroom_practice2.tif,112,0.0166666666666667,0.0333333333333333,0.0833333333333333,0.95,431788.2846316,431789.6598694,74,431788.3052293,431788.339963,431788.4253051,431789.6675893,431790.6159281
102,3,0,categorization,1,bathroom,SHINEd_bathroom_practice3.tif,113,0.0166666666666667,0.0333333333333333,0.0833333333333333,1.1,431790.6250287,431791.8527244,74,431790.6459596,431790.6799747,431790.7639067,431791.8593207,431792.957658
102,4,0,categorization,1,bathroom,SHINEd_bathroom_practice4.tif,114,0.0166666666666667,0.0333333333333333,0.0833333333333333,1.23333333333333,431792.9637329,431794.4123811,74,431792.9839357,431793.0183629,431793.1011153,431794.4185757,431795.650248
102,5,0,categorization,1,bathroom,SHINEd_bathroom_practice5.tif,115,0.0166666666666667,0.0333333333333333,0.0833333333333333,0.8,431795.6565959,431796.8499347,74,431795.6775243,431795.7113248,431795.7936954,431796.8609986,431797.659336
102,6,0,categorization,1,kitchen,SHINEd_kitchen_practice1.tif,116,0.0166666666666667,0.0333333333333333,0.0833333333333333,0.716666666666667,431797.6652331,431798.9225538,70,431797.6861094,431797.722252,431797.8039378,431798.9311738,431799.6461775
102,7,0,categorization,1,kitchen,SHINEd_kitchen_practice2.tif,117,0.0166666666666667,0.0333333333333333,0.0833333333333333,1.3,431799.6522522,431800.6512585,70,431799.6724998,431799.7082819,431799.7911446,431800.6577863,431801.9561253
102,8,0,categorization,1,kitchen,SHINEd_kitchen_practice3.tif,118,0.0166666666666667,0.0333333333333333,0.0833333333333333,0.783333333333333,431801.962095,431802.8604771,70,431801.9840506,431802.0169389,431802.0993588,431802.8665892,431803.6482602
102,9,0,categorization,1,kitchen,SHINEd_kitchen_practice4.tif,119,0.0166666666666667,0.0333333333333333,0.0833333333333333,1.95,431803.6548531,431804.6648524,70,431803.6756473,431803.7122995,431803.7921127,431804.6743225,431806.6226605
102,10,0,categorization,1,kitchen,SHINEd_kitchen_practice5.tif,120,0.0166666666666667,0.0333333333333333,0.0833333333333333,1.5,431806.6285366,431808.3313191,74,431806.649501,431806.6837965,431806.7658038,431808.3378024,431809.8361399
